movieId,title,genres,tag,relevant_tags,combined_features,imdbId
1,Toy Story (1995),Adventure Animation Children Comedy Fantasy,Watched computer animation Disney animated feature Pixar animation TÃ©a Leoni does not star in this movie Pixar animation family Tom Hanks Pixar witty Pixar adventure animated animation clever comedy computer animation family fantasy Tom Hanks bright DARING RESCUES fanciful HEROIC MISSION humorous light rousing TOYS COME TO LIFE UNLIKELY FRIENDSHIPS warm witty animation humorous Pixar time travel Pixar Pixar animation animation kids movie Pixar Pixar Pixar witty Disney Tim Allen time travel action figure action figures Buzz Lightyear CG animation toy toys Woody animation Pixar animation Disney villian hurts toys pixar animation disney fantasy Pixar animation pixar children é˜®ä¸€é¸£ animation computer animation funny humorous Pixar Tom Hanks witty 3D Disney funny Pixar time travel Pixar time travel animation Pixar Cartoon Disney toy toys Pixar Pixar animation pixar animated animation comedy Disney Pixar ya boy clever computer animation Disney fantasy Pixar toys witty animation cgi rated-G Pixar children computer animation family funny Pixar Tom Hanks toys lots of heart Animation Pixar want to see again children Disney computer animation funny Pixar animation fantasy Pixar animation Pixar Disney Pixar Tim Allen Tom Hanks Pixar animation comedy Disney Pixar imdb top 250 animation pixar Tim Allen Tom Hanks 3D animated children comedy computer animation Disney family humorous Pixar time travel Tom Hanks children Pixar Tom Hanks animation Pixar animated animation buddy movie computer animation funny Pixar Tom Hanks Tom Hanks Cartoon animation comedy funny imdb top 250 Pixar Pixar Tom Hanks pixar animation cgi Disney family Pixar toys computer animation Pixar children family Pixar Tom Hanks toys witty Pixar the boys Pixar animated cgi comedy animated animation children comedy fantasy funny humorous Pixar time travel very good Best of Rotten Tomatoes: All Time John Lasseter Pixar animation computer animation pixar toys adventure animation comedy family fantasy John Lasseter USA adventure children classic computer animation Disney funny Pixar Tim Allen Tom Hanks animation Pixar adventure children family funny animation Tom Hanks avi buy animated fun pixar computer animation 3D children Want classic pixar children computer animation family humorous time travel Tom Hanks witty Pixar animation pixar Pixar CGI classic disney pixar pixar animation Disney Pixar soothing Tom Hanks almost favorite toys computer animation Disney humorous Pixar funny Pixar adventure animated animation buddy movie children classic clever comedy computer animation Disney family fantasy funny humorous imdb top 250 Pixar time travel Tom Hanks toys witty adventure animation children comedy Disney animation fun animation children clever Disney family funny humorous imdb top 250 Pixar Pixar animation Tom Hanks Pixar Disney Pixar adventure animated animation classic Disney fantasy Pixar Tom Hanks toys animation children computer animation Disney family Pixar animation Pixar animation friendship toys computer animation Pixar adventure computer animation Pixar pixar animation Pixar Tim Allen Tom Hanks family film friendship toys cute funny story voice acting witty classic Disney Pixar animation Pixar animation classic comedy computer animation Disney funny humorous Pixar time travel Tom Hanks witty first cgi film animation children Disney animation children computer animation Disney imdb top 250 John Lasseter Pixar Tom Hanks Engaging animation comedy funny Pixar 2009 reissue in Stereoscopic 3-D 55 movies every kid should see--Entertainment Weekly BD-Video CLV DVD-Video animation children Disney Pixar animation animated animation buddy movie children clever time travel witty kids and family Pixar witty animation erlend's DVDs funny Pixar witty innovative buddy movie Tom Hanks witty time travel dolls National Film Registry adventure animation comedy funny humorous Pixar animation Disney Pixar toys adventure funny Tumey's To See Again Tumey's VHS,toys computer animation pixar animation kids and family animation,Adventure Animation Children Comedy Fantasy Watched computer animation Disney animated feature Pixar animation TÃ©a Leoni does not star in this movie Pixar animation family Tom Hanks Pixar witty Pixar adventure animated animation clever comedy computer animation family fantasy Tom Hanks bright DARING RESCUES fanciful HEROIC MISSION humorous light rousing TOYS COME TO LIFE UNLIKELY FRIENDSHIPS warm witty animation humorous Pixar time travel Pixar Pixar animation animation kids movie Pixar Pixar Pixar witty Disney Tim Allen time travel action figure action figures Buzz Lightyear CG animation toy toys Woody animation Pixar animation Disney villian hurts toys pixar animation disney fantasy Pixar animation pixar children é˜®ä¸€é¸£ animation computer animation funny humorous Pixar Tom Hanks witty 3D Disney funny Pixar time travel Pixar time travel animation Pixar Cartoon Disney toy toys Pixar Pixar animation pixar animated animation comedy Disney Pixar ya boy clever computer animation Disney fantasy Pixar toys witty animation cgi rated-G Pixar children computer animation family funny Pixar Tom Hanks toys lots of heart Animation Pixar want to see again children Disney computer animation funny Pixar animation fantasy Pixar animation Pixar Disney Pixar Tim Allen Tom Hanks Pixar animation comedy Disney Pixar imdb top 250 animation pixar Tim Allen Tom Hanks 3D animated children comedy computer animation Disney family humorous Pixar time travel Tom Hanks children Pixar Tom Hanks animation Pixar animated animation buddy movie computer animation funny Pixar Tom Hanks Tom Hanks Cartoon animation comedy funny imdb top 250 Pixar Pixar Tom Hanks pixar animation cgi Disney family Pixar toys computer animation Pixar children family Pixar Tom Hanks toys witty Pixar the boys Pixar animated cgi comedy animated animation children comedy fantasy funny humorous Pixar time travel very good Best of Rotten Tomatoes: All Time John Lasseter Pixar animation computer animation pixar toys adventure animation comedy family fantasy John Lasseter USA adventure children classic computer animation Disney funny Pixar Tim Allen Tom Hanks animation Pixar adventure children family funny animation Tom Hanks avi buy animated fun pixar computer animation 3D children Want classic pixar children computer animation family humorous time travel Tom Hanks witty Pixar animation pixar Pixar CGI classic disney pixar pixar animation Disney Pixar soothing Tom Hanks almost favorite toys computer animation Disney humorous Pixar funny Pixar adventure animated animation buddy movie children classic clever comedy computer animation Disney family fantasy funny humorous imdb top 250 Pixar time travel Tom Hanks toys witty adventure animation children comedy Disney animation fun animation children clever Disney family funny humorous imdb top 250 Pixar Pixar animation Tom Hanks Pixar Disney Pixar adventure animated animation classic Disney fantasy Pixar Tom Hanks toys animation children computer animation Disney family Pixar animation Pixar animation friendship toys computer animation Pixar adventure computer animation Pixar pixar animation Pixar Tim Allen Tom Hanks family film friendship toys cute funny story voice acting witty classic Disney Pixar animation Pixar animation classic comedy computer animation Disney funny humorous Pixar time travel Tom Hanks witty first cgi film animation children Disney animation children computer animation Disney imdb top 250 John Lasseter Pixar Tom Hanks Engaging animation comedy funny Pixar 2009 reissue in Stereoscopic 3-D 55 movies every kid should see--Entertainment Weekly BD-Video CLV DVD-Video animation children Disney Pixar animation animated animation buddy movie children clever time travel witty kids and family Pixar witty animation erlend's DVDs funny Pixar witty innovative buddy movie Tom Hanks witty time travel dolls National Film Registry adventure animation comedy funny humorous Pixar animation Disney Pixar toys adventure funny Tumey's To See Again Tumey's VHS toys computer animation pixar animation kids and family animation,114709
2,Jumanji (1995),Adventure Children Fantasy,time travel adapted from:book board game childhood recaptured game herds of CGI animals scary see also:Zathura time time travel board game fantasy Robin Williams scary time travel Robin Williams Joe Johnston Robin Williams kid flick jungle Robin Williams board game Robin Williams animals Lebbat Robin Williams time travel adventure Robin Williams Children Fantasy Robin Williams Dynamic CGI Action Kirsten Dunst Robin Williams Robin Williams fantasy kid flick animals animals fantasy For children fantasy adapted from:book childish Children kid flick time travel Joe Johnston fantasy Robin Williams time travel animals board game children fantasy Kirsten Dunst Robin Williams time travel board game time travel Children kid flick Filmed in BC fantasy Robin Williams animals bad cgi based on a book board game Chris Van Allsburg Robin Williams Robin Williams game magic board game monkey adapted from:book animals bad cgi based on a book board game childhood recaptured Children Chris Van Allsburg fantasy Filmed in BC jungle kid flick Kirsten Dunst monkey Robin Williams Saturn Award (Best Special Effects) Saturn Award (Best Supporting Actress) scary time time travel animals based on a book magic board game monkey Robin Williams time travel animals childhood recaptured herds of CGI animals Kirsten Dunst Robin Williams fantasy Robin Williams scary time travel CLV bad cgi horrifying (but not Horror genre) Kirsten Dunst magic board game monkey not for kids fantasy animals fantasy Robin Williams scary,adventure jungle children kids special effects,Adventure Children Fantasy time travel adapted from:book board game childhood recaptured game herds of CGI animals scary see also:Zathura time time travel board game fantasy Robin Williams scary time travel Robin Williams Joe Johnston Robin Williams kid flick jungle Robin Williams board game Robin Williams animals Lebbat Robin Williams time travel adventure Robin Williams Children Fantasy Robin Williams Dynamic CGI Action Kirsten Dunst Robin Williams Robin Williams fantasy kid flick animals animals fantasy For children fantasy adapted from:book childish Children kid flick time travel Joe Johnston fantasy Robin Williams time travel animals board game children fantasy Kirsten Dunst Robin Williams time travel board game time travel Children kid flick Filmed in BC fantasy Robin Williams animals bad cgi based on a book board game Chris Van Allsburg Robin Williams Robin Williams game magic board game monkey adapted from:book animals bad cgi based on a book board game childhood recaptured Children Chris Van Allsburg fantasy Filmed in BC jungle kid flick Kirsten Dunst monkey Robin Williams Saturn Award (Best Special Effects) Saturn Award (Best Supporting Actress) scary time time travel animals based on a book magic board game monkey Robin Williams time travel animals childhood recaptured herds of CGI animals Kirsten Dunst Robin Williams fantasy Robin Williams scary time travel CLV bad cgi horrifying (but not Horror genre) Kirsten Dunst magic board game monkey not for kids fantasy animals fantasy Robin Williams scary adventure jungle children kids special effects,113497
3,Grumpier Old Men (1995),Comedy Romance,old people that is actually funny sequel fever grun running moldy old comedinha de velhinhos engraÃƒÂ§ada Funniest Movies sequel Jack Lemmon Walter Matthau NO_FA_GANES Howard Deutch sequel comedinha de velhinhos engraÃ§ada moldy old CLV comedy,good sequel sequel sequels comedy original,Comedy Romance old people that is actually funny sequel fever grun running moldy old comedinha de velhinhos engraÃƒÂ§ada Funniest Movies sequel Jack Lemmon Walter Matthau NO_FA_GANES Howard Deutch sequel comedinha de velhinhos engraÃ§ada moldy old CLV comedy good sequel sequel sequels comedy original,113228
4,Waiting to Exhale (1995),Comedy Drama Romance,chick flick revenge characters chick flick characters CLV,women chick flick girlie movie romantic unlikely friendships,Comedy Drama Romance chick flick revenge characters chick flick characters CLV women chick flick girlie movie romantic unlikely friendships,114885
5,Father of the Bride Part II (1995),Comedy,Diane Keaton family sequel Steve Martin wedding sequel fever Fantasy childhood classics it thought it was funny but it wasn't watched under duress worst movies ever steve martin steve martin Comedy Touching pregnancy remake steve martin CLV family pregnancy wedding,good sequel father daughter relationship sequels sequel comedy,Comedy Diane Keaton family sequel Steve Martin wedding sequel fever Fantasy childhood classics it thought it was funny but it wasn't watched under duress worst movies ever steve martin steve martin Comedy Touching pregnancy remake steve martin CLV family pregnancy wedding good sequel father daughter relationship sequels sequel comedy,113041
6,Heat (1995),Action Crime Thriller,realistic action Al Pacino Michael Mann Robert De Niro Al Pacino Michael Mann Natalie Portman Robert De Niro Val Kilmer ending lame Al Pacino bank robbery crime dialogue gunfight long Los Angeles police Robert De Niro tense Val Kilmer atmospheric bleak slick somber tense visceral witty overrated crime Al Pacino atmospheric Robert De Niro Al Pacino atmospheric crime great acting philosophy professionals Robert De Niro suspense tense action Al Pacino Robert De Niro suspense bleak dialogue long overrated too long atmospheric philosophy slow paced tense need to own Michael Mann Al Pacino Michael Mann Robert De Niro great acting cliched dumbed down hollywoodization lame Al Pacino Bank Heist dialogue great acting philosophy Robert De Niro slow paced suspense tense In The Nucleus individualism realistic Can't remember Al Pacino Robert De Niro overrated Al Pacino great acting Robert De Niro long imdb top 250 realistic al pacino electronic soundtrack robert de niro slow paced adultery Al Pacino atmospheric bank robbery Bechdel Test:Fail bleak career criminal dialogue gunfight guns loner long Los Angeles male-female relationship Michael Mann ONE LAST HEIST overrated philosophy police R R:language R:violence Recommendz Top Pick Robert De Niro Seen 2010 slick somber teenage girl tense thieves tough guy Val Kilmer visceral realistic action 7.5-FilmAffinity es un poc de lo de sempre Can't remember Al Pacino crime great acting realistic action suspense tense 1 Michael Mann setting:LA who cares DVDs Al Pacino Robert De Niro Al Pacino long Natalie Portman overrated Robert De Niro too long Al Pacino overrated Robert De Niro Bank Heist imdb top 250 Natalie Portman Val Kilmer Want overrated Al Pacino imdb top 250 Robert De Niro imdb top 250 Recommendz Top Pick too long Al Pacino bank robbery crime great acting Natalie Portman realistic action Robert De Niro soundtrack suspense tense Val Kilmer amazing cast gunfight philosophy tragic end Top 10 ever long adultery Al Pacino atmospheric bank robbery career criminal crime great acting gunfight guns Los Angeles Michael Mann Natalie Portman police professionals real life realistic realistic action relationships Robert De Niro suicide suspense Val Kilmer violent visceral Al and Robert too long owned guns seen 2011 Al Pacino authenticity great acting Robert De Niro visceral btaege great acting suspense tense atmospheric dialogue Al Pacino atmospheric bank robbery crime Do kupienia great acting imdb top 250 Los Angeles Michael Mann Natalie Portman philosophy realistic action Robert De Niro suspense tense Val Kilmer bank robbery Los Angeles realistic action CLV vontatott Al Pacino erlend's DVDs Michael Mann Robert De Niro Al Pacino atmospheric Robert De Niro suspense tense atmospheric Bibliothek ClearPlay R crime Al Pacino Natalie Portman Robert De Niro suspense overrated Tumey's DVDs,crime heist gunfight bank robbery great acting,Action Crime Thriller realistic action Al Pacino Michael Mann Robert De Niro Al Pacino Michael Mann Natalie Portman Robert De Niro Val Kilmer ending lame Al Pacino bank robbery crime dialogue gunfight long Los Angeles police Robert De Niro tense Val Kilmer atmospheric bleak slick somber tense visceral witty overrated crime Al Pacino atmospheric Robert De Niro Al Pacino atmospheric crime great acting philosophy professionals Robert De Niro suspense tense action Al Pacino Robert De Niro suspense bleak dialogue long overrated too long atmospheric philosophy slow paced tense need to own Michael Mann Al Pacino Michael Mann Robert De Niro great acting cliched dumbed down hollywoodization lame Al Pacino Bank Heist dialogue great acting philosophy Robert De Niro slow paced suspense tense In The Nucleus individualism realistic Can't remember Al Pacino Robert De Niro overrated Al Pacino great acting Robert De Niro long imdb top 250 realistic al pacino electronic soundtrack robert de niro slow paced adultery Al Pacino atmospheric bank robbery Bechdel Test:Fail bleak career criminal dialogue gunfight guns loner long Los Angeles male-female relationship Michael Mann ONE LAST HEIST overrated philosophy police R R:language R:violence Recommendz Top Pick Robert De Niro Seen 2010 slick somber teenage girl tense thieves tough guy Val Kilmer visceral realistic action 7.5-FilmAffinity es un poc de lo de sempre Can't remember Al Pacino crime great acting realistic action suspense tense 1 Michael Mann setting:LA who cares DVDs Al Pacino Robert De Niro Al Pacino long Natalie Portman overrated Robert De Niro too long Al Pacino overrated Robert De Niro Bank Heist imdb top 250 Natalie Portman Val Kilmer Want overrated Al Pacino imdb top 250 Robert De Niro imdb top 250 Recommendz Top Pick too long Al Pacino bank robbery crime great acting Natalie Portman realistic action Robert De Niro soundtrack suspense tense Val Kilmer amazing cast gunfight philosophy tragic end Top 10 ever long adultery Al Pacino atmospheric bank robbery career criminal crime great acting gunfight guns Los Angeles Michael Mann Natalie Portman police professionals real life realistic realistic action relationships Robert De Niro suicide suspense Val Kilmer violent visceral Al and Robert too long owned guns seen 2011 Al Pacino authenticity great acting Robert De Niro visceral btaege great acting suspense tense atmospheric dialogue Al Pacino atmospheric bank robbery crime Do kupienia great acting imdb top 250 Los Angeles Michael Mann Natalie Portman philosophy realistic action Robert De Niro suspense tense Val Kilmer bank robbery Los Angeles realistic action CLV vontatott Al Pacino erlend's DVDs Michael Mann Robert De Niro Al Pacino atmospheric Robert De Niro suspense tense atmospheric Bibliothek ClearPlay R crime Al Pacino Natalie Portman Robert De Niro suspense overrated Tumey's DVDs crime heist gunfight bank robbery great acting,113277
7,Sabrina (1995),Comedy Romance,Greg Kinnear romance remadeAs:Sabrina(1995) remakeOf:Sabrina(1954) upstairs-downstairs based on a play chick flick finding yourself Greg Kinnear Harrison Ford Paris remake ugly duckling chick flick remake Drama finding yourself great cast Greg Kinnear Julia Ormond love story remake romance Romance chick flick remake remake NO_FA_GANES based on a play chick flick Harrison Ford Julia Ormond Nancy Marchand remake based on a play remake remake great cast Harrison Ford romance Harrison Ford relationships CLV Greg Kinnear remake,remake romantic romantic comedy romance paris,Comedy Romance Greg Kinnear romance remadeAs:Sabrina(1995) remakeOf:Sabrina(1954) upstairs-downstairs based on a play chick flick finding yourself Greg Kinnear Harrison Ford Paris remake ugly duckling chick flick remake Drama finding yourself great cast Greg Kinnear Julia Ormond love story remake romance Romance chick flick remake remake NO_FA_GANES based on a play chick flick Harrison Ford Julia Ormond Nancy Marchand remake based on a play remake remake great cast Harrison Ford romance Harrison Ford relationships CLV Greg Kinnear remake remake romantic romantic comedy romance paris,114319
8,Tom and Huck (1995),Adventure Children,adapted from:book author:Mark Twain Library System seen Peter Hewitt based on a book Mark Twain,adventure based on a book unlikely friendships childhood friendship,Adventure Children adapted from:book author:Mark Twain Library System seen Peter Hewitt based on a book Mark Twain adventure based on a book unlikely friendships childhood friendship,112302
9,Sudden Death (1995),Action,action jean-claude van damme Peter Hyams Jean-Claude Van Damme Can't remember Jean-Claude Van Damme Jean-Claude Van Damme Peter Hyams CLV,action good action lone hero video game adaptation action packed,Action action jean-claude van damme Peter Hyams Jean-Claude Van Damme Can't remember Jean-Claude Van Damme Jean-Claude Van Damme Peter Hyams CLV action good action lone hero video game adaptation action packed,114576
10,GoldenEye (1995),Action Adventure Thriller,007 (series) assassin killer as protagonist murder 007 Bond james bond 007 tank chase scene 007 Bond espionage good dialogue espionage James Bond bond Bob*ola MTSKAF Pierce Brosnan James Bond seen more than once James Bond Pierce Brosnan James Bond action adventure James Bond espionage Bond Bond Bond seen more than once it's a good movie but the end of 007 is always the same Sean Bean dies 007 James Bond Pierce Brosnan 007 007 (series) action espionage gadgets James Bond Judi Dench Pierce Brosnan secret service spies violence 007 james bond Caribbean espionage franchise James Bond Latin America Puerto Rico 007 action James Bond Pierce Brosnan 007 Bond 007 James Bond Best Of the Brosnon Bonds Bond owned I wanted the bad guy to win.  Sean Bean out-Bonds Bond. Pierce Brosnan Bond btaege 007 movies are bad. Bond BD-Video CLV 007 Bond 007 Bond boys with toys gadgets secret service sequel spies violence James Bond Pierce Brosnan Bond 007 dark espionage funny good dialogue James Bond Memorable Characters memorable lines one-liners sexuality Tumey's DVDs,007 007 (series) bond franchise espionage,Action Adventure Thriller 007 (series) assassin killer as protagonist murder 007 Bond james bond 007 tank chase scene 007 Bond espionage good dialogue espionage James Bond bond Bob*ola MTSKAF Pierce Brosnan James Bond seen more than once James Bond Pierce Brosnan James Bond action adventure James Bond espionage Bond Bond Bond seen more than once it's a good movie but the end of 007 is always the same Sean Bean dies 007 James Bond Pierce Brosnan 007 007 (series) action espionage gadgets James Bond Judi Dench Pierce Brosnan secret service spies violence 007 james bond Caribbean espionage franchise James Bond Latin America Puerto Rico 007 action James Bond Pierce Brosnan 007 Bond 007 James Bond Best Of the Brosnon Bonds Bond owned I wanted the bad guy to win.  Sean Bean out-Bonds Bond. Pierce Brosnan Bond btaege 007 movies are bad. Bond BD-Video CLV 007 Bond 007 Bond boys with toys gadgets secret service sequel spies violence James Bond Pierce Brosnan Bond 007 dark espionage funny good dialogue James Bond Memorable Characters memorable lines one-liners sexuality Tumey's DVDs 007 007 (series) bond franchise espionage,113189
